Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Sweden,Allsvenskan,2012,31/03/2012,15:00,Elfsborg,Djurgarden,2,1,H,1.71,3.98,5.44,1.73,3.98,5.5,1.66,3.68,5,,,,,,
Sweden,Allsvenskan,2012,31/03/2012,15:00,GAIS,Hacken,0,0,D,2.21,3.57,3.48,2.5,3.57,3.5,2.25,3.24,3.11,,,,,,
Sweden,Allsvenskan,2012,31/03/2012,15:00,Sundsvall,Kalmar,0,1,A,2.72,2.39,2.8,2.75,3.31,2.82,2.64,3.14,2.62,,,,,,
Sweden,Allsvenskan,2012,01/04/2012,13:00,AIK,Mjallby,0,0,D,1.75,3.63,5.73,1.75,3.63,5.75,1.71,3.43,4.99,,,,,,
Sweden,Allsvenskan,2012,01/04/2012,16:30,Syrianska,Goteborg,2,1,H,5.01,3.49,1.87,5.01,3.65,1.89,4.63,3.41,1.77,,,,,,
Sweden,Allsvenskan,2012,02/04/2012,18:00,Malmo FF,Gefle,0,0,D,1.4,4.97,9.56,1.45,4.97,9.66,1.39,4.33,8.15,,,,,,
Sweden,Allsvenskan,2012,02/04/2012,18:00,Orebro,Atvidabergs,3,4,A,2.22,3.19,3.85,2.29,3.5,4,2.1,3.2,3.51,,,,,,
Sweden,Allsvenskan,2012,02/04/2012,18:05,Norrkoping,Helsingborg,1,0,H,3.72,3.67,2.09,3.91,3.67,2.09,3.63,3.34,2,,,,,,
Sweden,Allsvenskan,2012,06/04/2012,14:00,Atvidabergs,GAIS,2,1,H,2.87,3.43,2.63,2.93,3.43,2.7,2.68,3.21,2.54,,,,,,
Sweden,Allsvenskan,2012,06/04/2012,14:00,Gefle,Syrianska,1,1,D,2.14,3.34,3.9,2.19,3.4,4.25,2.02,3.27,3.64,,,,,,
Sweden,Allsvenskan,2012,07/04/2012,13:00,Hacken,Malmo FF,5,0,H,2.64,3.38,2.9,2.75,3.38,2.9,2.58,3.16,2.69,,,,,,
Sweden,Allsvenskan,2012,07/04/2012,15:00,Mjallby,Orebro,0,0,D,1.98,3.37,4.54,2.04,3.45,4.54,1.95,3.27,3.85,,,,,,
Sweden,Allsvenskan,2012,08/04/2012,14:00,Djurgarden,Sundsvall,1,0,H,1.61,4.12,6.44,1.7,4.12,6.44,1.63,3.64,5.32,,,,,,
Sweden,Allsvenskan,2012,08/04/2012,16:30,Helsingborg,Elfsborg,2,1,H,2.06,3.52,3.97,2.06,3.58,4.09,1.97,3.34,3.73,,,,,,
Sweden,Allsvenskan,2012,09/04/2012,14:00,Goteborg,Norrkoping,1,2,A,1.49,4.48,8.1,1.51,4.48,8.1,1.46,4.13,6.83,,,,,,
Sweden,Allsvenskan,2012,09/04/2012,16:30,Kalmar,AIK,1,2,A,2.58,3.39,2.95,2.58,3.39,3.2,2.4,3.15,2.95,,,,,,
