Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Fever,23,202.2,32.6,68.9,.473,10.1,27.3,.370,22.4,41.6,.540,18.7,22.7,.824,8.2,26.3,34.6,20.6,6.2,3.9,14.4,23.3,94.0
2,Minnesota Lynx,24,200.0,33.8,70.3,.480,8.5,22.3,.379,25.3,48.0,.527,14.6,18.3,.801,9.6,26.3,35.9,21.2,8.8,5.0,13.3,19.4,90.6
3,Las Vegas Aces,24,201.0,32.9,68.0,.484,8.1,22.9,.355,24.8,45.0,.549,16.0,20.6,.779,8.0,26.8,34.8,22.4,7.1,5.0,12.2,17.5,89.9
4,Dallas Wings,24,201.0,33.6,72.6,.463,8.3,24.6,.337,25.3,48.0,.527,13.9,17.5,.797,8.8,25.2,34.0,22.2,7.0,3.4,10.3,18.4,89.5
5,Los Angeles Sparks,22,201.1,31.7,69.0,.459,8.5,26.5,.323,23.1,42.6,.543,17.3,21.9,.788,7.7,23.1,30.9,20.8,7.8,3.0,14.0,20.6,89.2
6,Toronto Tempo,24,201.0,30.4,67.9,.447,10.1,27.9,.363,20.3,40.0,.506,17.7,21.4,.828,7.9,23.2,31.1,20.0,7.5,3.3,13.4,22.5,88.6
7,Atlanta Dream,24,200.0,30.7,70.8,.434,8.3,26.8,.312,22.4,44.1,.508,18.5,24.4,.759,11.1,23.6,34.7,19.9,9.5,2.8,13.0,19.3,88.3
8,New York Liberty,24,201.0,29.8,65.0,.459,9.9,28.6,.345,20.0,36.4,.549,18.3,21.4,.856,7.5,26.9,34.4,20.5,6.3,4.0,14.3,19.0,87.8
9,Chicago Sky,23,202.2,30.1,69.0,.436,7.1,22.9,.311,23.0,46.1,.498,19.1,25.0,.765,8.3,25.3,33.7,20.6,6.7,5.1,12.9,21.8,86.4
10,Portland Fire,24,204.2,29.9,67.4,.444,9.6,27.7,.346,20.3,39.7,.513,15.5,19.0,.818,7.5,22.0,29.5,20.2,7.5,4.2,15.0,22.5,85.0
11,Phoenix Mercury,25,201.0,28.7,65.5,.438,8.2,24.8,.330,20.5,40.6,.504,17.7,22.4,.791,7.4,24.2,31.6,19.3,7.4,3.2,13.2,18.1,83.3
12,Golden State Valkyries,24,200.0,28.3,68.0,.415,10.6,30.6,.346,17.7,37.4,.472,14.9,19.5,.764,9.2,23.8,33.0,18.2,7.4,4.3,10.8,20.0,82.0
13,Washington Mystics,22,206.8,28.3,64.8,.436,5.7,19.8,.287,22.6,45.0,.502,18.9,25.9,.730,9.8,27.0,36.8,19.3,5.7,3.6,16.2,21.0,81.1
14,Seattle Storm,25,201.0,28.3,66.6,.425,8.5,25.5,.334,19.8,41.1,.482,14.8,18.5,.803,7.2,25.7,32.9,18.6,7.7,4.4,14.4,20.3,80.0
15,Connecticut Sun,24,201.0,29.6,68.1,.435,5.0,18.1,.276,24.6,50.0,.492,15.5,22.5,.691,9.8,23.4,33.2,19.2,8.6,4.5,13.8,22.8,79.7
,League Average,24,201.5,30.6,68.1,.449,8.5,25.1,.337,22.1,43.0,.514,16.7,21.3,.785,8.5,24.9,33.4,20.2,7.4,4.0,13.4,20.4,86.3
